Electricity,Billion Kwh,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Non-Hydroelectric Renewables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wind,Billion Kwh,0,0.001,0.001,0.001,0.002,0.002,0.008,0.047,0.037,0.034,0.038,0.036,0.07,0.162,0.451,0.756,0.651,1.021,1.121,1.266,1.699,1.818,2.242,2.543,2.714,3.315,3.161,4.139,3.689,4.621,5.146
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renewables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Hydroelectric Renewables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wind,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renewables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Hydroelectric Renewables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wind,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.003,0.003,0.003,0.006,0.001,0.0001
Guadeloupe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renewables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Hydroelectric Renewables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wind,Billion Kwh,0,0,0,0,0,0,0,0.0007,0.0007,0.0007,0.001,0.005,0.01,0.01,0.02,0.02,0.03,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.045,0.05,0.057,0.055,0.052,0.053
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renewables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Hydroelectric Renewables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wind,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
