Electricty Consumption,Units,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,EC_2010,EC_2011,EC_2012,EC_2013,EC_2014,2015,2016
Canada,Billion Kwh,309.4796186,319.0600113,319.1662899,331.6464341,356.7081734,372.3717488,389.3891382,405.2340648,422.240689,434.636367,433.831893,439.86871,444.721821,455.057803,459.639142,466.695881,473.650624,482.485399,479.434168,490.031692,505.223524,505.602054,513.18264,528.230048,534.063122,531.038961,522.323335,535.413361,529.806929,508.600661,510.094189,523.46204,516.4634,532.92852,535.06812,524.29262,522.15171
Cape Verde,Billion Kwh,0.01395,0.01395,0.01953,0.02046,0.02418,0.02511,0.02604,0.02883,0.03069,0.03069,0.03627,0.0465,0.05301,0.06138,0.06975,0.07254,0.07719,0.08184,0.08928,0.1023,0.12834,0.14415,0.15903,0.17391,0.19158,0.20646,0.21948,0.23529,0.2511,0.26133,0.30225,0.32178,0.33201,0.3534,0.37107,0.36549,0.36735
Cayman Islands,Billion Kwh,0.05394,0.06138,0.07254,0.08277,0.09672,0.10881,0.11997,0.14043,0.15531,0.17019,0.19716,0.2046,0.20553,0.22041,0.24924,0.25947,0.26133,0.26226,0.26412,0.2883,0.3702237,0.3949803,0.416733,0.43059,0.4516359,0.36642,0.45198,0.50778,0.529,0.5484,0.5405,0.541,0.548,0.556,0.568,0.586,0.612
Central African Republic,Billion Kwh,0.06231,0.06138,0.0651,0.06324,0.06696,0.07161,0.08649,0.08463,0.08556,0.08556,0.08649,0.08556,0.08742,0.08835,0.09207,0.093,0.09486,0.09672,0.09486,0.09579,0.09765,0.09858,0.09858,0.09951,0.13857,0.14787,0.15438,0.1488,0.1488,0.14787,0.147963,0.159309,0.162192,0.144522,0.146382,0.140802,0.159402
Chad,Billion Kwh,0.04092,0.04464,0.04557,0.04464,0.04557,0.04743,0.06045,0.07347,0.07068,0.07161,0.07905,0.07626,0.07347,0.07533,0.0744,0.07812,0.07905,0.07905,0.07998,0.07998,0.07998,0.08742,0.09393,0.10044,0.10695,0.11253,0.11346,0.11253,0.13113,0.15996,0.17484,0.19065,0.19344,0.197253,0.197253,0.199299,0.208599
Chile,Billion Kwh,10.41,10.75,10.551,10.771,11.62,12.076,12.926,13.257,14.277,15.501,18.341,18.224,19.224,19.666,21.258,25.635,28.059,30.687,31.643,34.86,38.14374,39.37382,41.3827,44.06254,47.22554,48.37876,50.92482,53.01022,53.5916,53.45744,54.07544,59.30442,63.4112,65.14054,63.40422,68.6251,73.21566
China,Billion Kwh,261.492,268.754,285.858,307.606,330.13,351.318,385.299,425.192,466.479,498.708,549.342,597.204,666.142,738.807,818.535,876.577,920.966,983.495,1017.457,1076.767,1178.033,1314.783,1459.429,1676.829,1955.39,2196.172,2523.947,2891.542,3070.881,3290.14,3713.68162,4178.89156,4435.14858,4845.35802,5066.51356,5251.24586,5563.92854
Colombia,Billion Kwh,16.385,16.697,22.257,22.931,25.177,25.439,28.302,23.559,25.427,27.079,28.171,28.782,26.624,29.652,32.026,33.461,34.127,34.837,34.123,32.625,32.5797,33.87112,34.72002,35.40868,37.43262,37.78808,40.49312,42.21551,42.77246,46.4006,48.12198,50.97278,52.70862,65.57738,62.73972,68.48588,68.25274
Comoros,Billion Kwh,0.00837,0.0093,0.0093,0.01023,0.01116,0.01302,0.01302,0.01302,0.01302,0.01488,0.01395,0.01395,0.01395,0.01395,0.01395,0.01395,0.01488,0.01488,0.01581,0.01581,0.01767,0.02604,0.02883,0.03069,0.03906,0.04185,0.04464,0.04092,0.03999,0.03813,0.04185,0.05487,0.05394,0.05115,0.04743,0.03813,0.03906
Congo (Brazzaville),Billion Kwh,0.144,0.156,0.2,0.192,0.294,0.228,0.369,0.387,0.372,0.386,0.405,0.462,0.44,0.355,0.351,0.355,0.449,0.447,0.324,0.361,0.29394,0.287,0.414,0.38458,0.36298,0.41632,0.46214,0.47868,0.566,0.58446,0.5747,0.61098,0.91532,0.93102,0.90402,0.90106,0.91196
